id,name
0,DARTH VADER
1,R2-D2
2,CHEWBACCA
3,BB-8
4,QUI-GON
5,NUTE GUNRAY
6,PK-4
7,TC-14
8,OBI-WAN
9,DOFINE
10,RUNE
11,TEY HOW
12,EMPEROR
13,CAPTAIN PANAKA
14,SIO BIBBLE
15,JAR JAR
16,TARPALS
17,BOSS NASS
18,PADME
19,RIC OLIE
20,WATTO
21,SEBULBA
22,JIRA
23,SHMI
24,C-3PO
25,DARTH MAUL
26,KITSTER
27,WALD
28,FODE/BEED
29,JABBA
30,GREEDO
31,VALORUM
32,MACE WINDU
33,KI-ADI-MUNDI
34,YODA
35,RABE
36,BAIL ORGANA
37,GENERAL CEEL
38,BRAVO TWO
39,BRAVO THREE
40,CAPTAIN TYPHO
41,SENATOR ASK AAK
42,ORN FREE TAA
43,SOLA
44,JOBAL
45,RUWEE
46,TAUN WE
47,LAMA SU
48,BOBA FETT
49,JANGO FETT
50,OWEN
51,BERU
52,CLIEGG
53,COUNT DOOKU
54,SUN RIT
55,POGGLE
56,PLO KOON
57,ODD BALL
58,GENERAL GRIEVOUS
59,FANG ZAR
60,MON MOTHMA
61,GIDDEAN DANU
62,CLONE COMMANDER GREE
63,CLONE COMMANDER CODY
64,TION MEDON
65,CAPTAIN ANTILLES
66,LUKE
67,CAMIE
68,BIGGS
69,LEIA
70,MOTTI
71,TARKIN
72,HAN
73,DODONNA
74,GOLD LEADER
75,WEDGE
76,RED LEADER
77,RED TEN
78,RIEEKAN
79,DERLIN
80,ZEV
81,PIETT
82,OZZEL
83,DACK
84,JANSON
85,NEEDA
86,LANDO
87,JERJERROD
88,BIB FORTUNA
89,BOUSHH
90,ADMIRAL ACKBAR
91,LOR SAN TEKKA
92,POE
93,KYLO REN
94,CAPTAIN PHASMA
95,FINN
96,UNKAR PLUTT
97,REY
98,GENERAL HUX
99,LIEUTENANT MITAKA
100,BALA-TIK
101,SNOKE
102,MAZ
103,SNAP
104,ADMIRAL STATURA
105,YOLO ZIFF
106,COLONEL DATOO
107,ELLO ASTY
108,JESS
109,NIV LEK
